taxa	location
ZIKV|KX838904|FL01M|USA_Florida_Miami|2016-08-22	usa
ZIKV|KX832731|Hu0015SA|USA_Florida_Miami|2016-08-24	usa
ZIKV|KX922707|FL039U|USA_Florida_Tampa|2016-08-17	usa
ZIKV|KX922706|FL038U|USA_Florida_Miami|2016-08-05	usa
ZIKV|XXX|FL036SE|USA_Florida_Miami|2016-08-04	usa
ZIKV|KX922705|FL032U|USA_Florida_Miami|2016-08-05	usa
ZIKV|KX922704|FL030U|USA_Florida_Miami|2016-08-02	usa
ZIKV|XXX|FL022U|USA_Florida_Miami|2016-07-16	usa
ZIKV|KX922703|FL021U|USA_Florida_Miami|2016-07-19	usa
ZIKV|KX842449|FL010U|USA_Florida_Miami|2016-06-22	usa
ZIKV|XXX|FL016U|USA_imported_from_Puerto_Rico|2016-07-03	caribbean
ZIKV|XXX|FL008U|USA_imported_from_Puerto_Rico|2016-06-21	caribbean
ZIKV|XXX|FL001SA|USA_imported_from_Martinique|2016-03-22	caribbean
ZIKV|XXX|FLWB044|USA_Florida_Miami|2016-09-28	usa
ZIKB|XXX|FLWB042|USA_Florida_Miami|2016-09-26	usa
ZIKV|XXX|FLUR063|USA_Florida_Miami|2016-10-03	usa
ZIKV|XXX|FLUR058|USA_Florida_Miami|2016-10-11	usa
ZIKV|XXX|FLUR057|USA_Florida_Miami|2016-10-05	usa
ZIKV|XXX|FLUR026|USA_Florida_Miami|2016-09-13	usa
ZIKV|XXX|FLUR0022|USA_Florida_Miami|2016-08-31	usa
ZIKV|XXX|FLUR0015|USA_Florida_Miami|2016-08-24	usa
ZIKV|XXX|FLUR0014|USA_Florida_Miami|2016-08-24	usa
ZIKV|XXX|FLUR0013|USA_Florida_Miami|2016-08-23	usa
ZIKV|XXX|FLUR0011|USA_Florida_Miami|2016-08-08	usa
ZIKV|XXX|FLUR0009|USA_Florida_Miami|2016-08-04	usa
ZIKV|XXX|FLUR0008|USA_Florida_Miami|2016-08-04	usa
ZIKV|XXX|FLUR0007|USA_Florida_Miami|2016-08-04	usa
ZIKV|XXX|FLUR0006|USA_Florida_Miami|2016-07-29	usa
ZIKV|XXX|FLUR0005|USA_Florida_Miami|2016-07-29	usa
ZIKV|XXX|FLUR0002|USA_Florida_Miami|2016-07-28	usa
ZIKV|XXX|FLUR0001|USA_Florida_Miami|2016-07-28	usa
ZIKV|XXX|FLSR043|USA_Florida_Miami|2016-09-28	usa
ZIKV|XXX|FLSR036|USA_Florida_Miami|2016-09-19	usa
